,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
1420,Flaw Fest: A Comedy and Music Album,Mixed Media,May 23 2013,Jun 21 2013,29,"Minneapolis, MN",$,27732,26007,505
1421,Mural and Art Garden,Public Art,May 22 2013,Jun 21 2013,30,"Brockport, NY",$,845,550,27
1422,Rivanna River Basin Mural--by artist Kaki Dimock,Public Art,Jul 1 2013,Jul 27 2013,26,"Charlottesville, VA",$,11371,8000,112
1423,"ILLOCATION: NE, PDX",Public Art,May 15 2013,Jun 1 2013,16,"Portland, OR",$,770,750,30
1424,The Air Feels Different Here,Art,May 29 2013,Jun 23 2013,25,"Oakland, CA",$,903,900,10
1425,"""Hole In One""",Art,Jan 15 2013,Feb 4 2013,19,"San Francisco, CA",$,655,650,42
1426,LAUNCH THE COLLECTIVE!,Art,Jan 10 2013,Feb 4 2013,24,"Pittsburgh, PA",$,4781,3800,67
1427,"Cops and Robbers: Risky Business, Women, and Whiskey",Art,Jan 24 2013,Feb 13 2013,20,"Seattle, WA",$,1294,700,33
1428,Fantastic Garden: Monumental Collaborative Puzzle Print,Mixed Media,Apr 3 2013,May 3 2013,30,"Las Vegas, NV",$,4543,3900,96
1429,Bayoucon Limited Edition Print by Kevin P. Johnson,Illustration,Mar 27 2013,Apr 26 2013,30,"Metairie, LA",$,212,120,16
1430,PAINTING GIANTS,Painting,May 3 2013,Jun 2 2013,30,"Desert Hot Springs, CA",$,3722,2000,50
